train_loss,epoch,step,val_loss,test_loss
2.3010714054107666,0,49,,
2.2770168781280518,0,99,,
2.244586944580078,0,149,,
1.923230528831482,0,199,,
1.2554160356521606,0,249,,
1.0835055112838745,0,299,,
0.936271071434021,0,349,,
0.9241601228713989,0,399,,
0.7410277724266052,0,449,,
0.6867153644561768,0,499,,
0.8043827414512634,0,549,,
0.39218780398368835,0,599,,
0.3511289954185486,0,649,,
0.28410661220550537,0,699,,
0.40046045184135437,0,749,,
0.4093148410320282,0,799,,
0.18505270779132843,0,849,,
0.4916820228099823,0,899,,
0.0766075849533081,0,949,,
0.292674720287323,0,999,,
0.06873578578233719,0,1049,,
0.1514720320701599,0,1099,,
0.14593152701854706,0,1149,,
0.3262215554714203,0,1199,,
0.07632913440465927,0,1249,,
0.25553563237190247,0,1299,,
0.03524644672870636,0,1349,,
0.3889003396034241,0,1399,,
0.07834363728761673,0,1449,,
0.12458629161119461,0,1499,,
0.14886412024497986,0,1549,,
0.35947152972221375,0,1599,,
0.09976017475128174,0,1649,,
0.03080533817410469,0,1699,,
0.26014479994773865,0,1749,,
0.1624070256948471,0,1799,,
,0,1799,0.096356600522995,
0.10499493032693863,1,1849,,
0.11246569454669952,1,1899,,
0.3667766749858856,1,1949,,
0.13352756202220917,1,1999,,
0.31737324595451355,1,2049,,
0.0957787036895752,1,2099,,
0.08158425241708755,1,2149,,
0.21662551164627075,1,2199,,
0.07093454152345657,1,2249,,
0.15898247063159943,1,2299,,
0.2172372192144394,1,2349,,
0.010807323269546032,1,2399,,
0.07527294754981995,1,2449,,
0.019600005820393562,1,2499,,
0.18525055050849915,1,2549,,
0.28962385654449463,1,2599,,
0.04765503108501434,1,2649,,
0.27838361263275146,1,2699,,
0.08202262967824936,1,2749,,
0.026452969759702682,1,2799,,
0.38446933031082153,1,2849,,
0.0740746408700943,1,2899,,
0.004344580695033073,1,2949,,
0.859292209148407,1,2999,,
0.15272028744220734,1,3049,,
0.011968433856964111,1,3099,,
0.0318780355155468,1,3149,,
0.019031507894396782,1,3199,,
0.14521843194961548,1,3249,,
0.025624461472034454,1,3299,,
0.043882690370082855,1,3349,,
0.19936715066432953,1,3399,,
0.06566745787858963,1,3449,,
0.2069685459136963,1,3499,,
0.021827425807714462,1,3549,,
0.06756401062011719,1,3599,,
,1,3599,0.059097837656736374,
0.24261333048343658,2,3649,,
0.306082159280777,2,3699,,
0.008049452677369118,2,3749,,
0.0730452761054039,2,3799,,
0.28510257601737976,2,3849,,
0.12962470948696136,2,3899,,
0.03273410350084305,2,3949,,
0.020784802734851837,2,3999,,
0.04112354665994644,2,4049,,
