train_loss,epoch,step
0.06155583634972572,0,49
0.04100167006254196,0,99
0.060243118554353714,1,149
0.04100725054740906,1,199
0.05963839218020439,2,249
0.041137635707855225,2,299
0.06022537127137184,3,349
0.041955120861530304,3,399
0.05982787162065506,4,449
0.04194124788045883,4,499
0.06291747838258743,5,549
0.04170481115579605,5,599
0.060396768152713776,6,649
0.0417989119887352,6,699
0.06007184460759163,7,749
0.04039519280195236,7,799
0.058525796979665756,8,849
0.041403498500585556,8,899
0.06038889288902283,9,949
0.0444597527384758,9,999
0.06246329843997955,10,1049
0.041888877749443054,10,1099
0.05933329090476036,11,1149
0.04112942889332771,11,1199
0.059359077364206314,12,1249
0.0402793288230896,12,1299
0.06271710246801376,13,1349
0.04100440442562103,13,1399
0.0586036816239357,14,1449
0.03997434675693512,14,1499
0.06372436136007309,15,1549
0.04099448397755623,15,1599
0.05905347317457199,16,1649
0.0403490886092186,16,1699
0.06351866573095322,17,1749
0.04101318120956421,17,1799
0.05859382823109627,18,1849
0.041136108338832855,18,1899
0.06090898811817169,19,1949
0.04163933917880058,19,1999
0.05958938226103783,20,2049
0.04050307720899582,20,2099
0.05985797196626663,21,2149
0.043363019824028015,21,2199
0.061623360961675644,22,2249
0.04109208285808563,22,2299
0.05817939713597298,23,2349
0.04148281738162041,23,2399
0.06008471921086311,24,2449
0.042848557233810425,24,2499
0.060641348361968994,25,2549
0.04255843535065651,25,2599
0.060873012989759445,26,2649
0.040370356291532516,26,2699
0.06061575189232826,27,2749
0.04146425426006317,27,2799
0.05832130089402199,28,2849
0.04052154719829559,28,2899
0.061672307550907135,29,2949
0.041248053312301636,29,2999
0.05980942025780678,30,3049
0.04213821142911911,30,3099
0.06401887536048889,31,3149
0.0415332168340683,31,3199
0.059950098395347595,32,3249
0.04139986261725426,32,3299
0.05896725878119469,33,3349
0.04060174897313118,33,3399
0.05964819714426994,34,3449
0.04160386696457863,34,3499
0.061180777847766876,35,3549
0.04172537848353386,35,3599
0.058623604476451874,36,3649
0.04123258218169212,36,3699
0.0582573227584362,37,3749
0.04013938456773758,37,3799
0.06204252690076828,38,3849
0.041299767792224884,38,3899
0.061897944658994675,39,3949
0.04076070338487625,39,3999
0.06153704226016998,40,4049
0.04100168123841286,40,4099
0.05777290090918541,41,4149
0.04168688505887985,41,4199
0.06348864734172821,42,4249
0.04131222888827324,42,4299
0.05993121489882469,43,4349
0.04103681817650795,43,4399
0.058262862265110016,44,4449
0.04070235788822174,44,4499
0.059609320014715195,45,4549
0.04169405624270439,45,4599
0.0578489825129509,46,4649
0.040867216885089874,46,4699
0.061057206243276596,47,4749
0.040522500872612,47,4799
0.059336185455322266,48,4849
0.04020415246486664,48,4899
0.06191626191139221,49,4949
0.04047907516360283,49,4999
0.059057869017124176,50,5049
0.04011746868491173,50,5099
0.05951008200645447,51,5149
0.041950274258852005,51,5199
0.05887280032038689,52,5249
0.04026034101843834,52,5299
0.06197163835167885,53,5349
0.041520506143569946,53,5399
0.06078864634037018,54,5449
0.040783461183309555,54,5499
0.0577794574201107,55,5549
0.04017837718129158,55,5599
0.05805208906531334,56,5649
0.04123995825648308,56,5699
0.059562716633081436,57,5749
0.041293948888778687,57,5799
0.06237435340881348,58,5849
0.041097670793533325,58,5899
0.05885278061032295,59,5949
0.041261907666921616,59,5999
0.05835608392953873,60,6049
0.040132373571395874,60,6099
0.05777502432465553,61,6149
0.04083312675356865,61,6199
0.06110978126525879,62,6249
0.04062226042151451,62,6299
0.060946766287088394,63,6349
0.04038150608539581,63,6399
0.0607602559030056,64,6449
0.041511595249176025,64,6499
0.059568800032138824,65,6549
0.04149700328707695,65,6599
0.06124182045459747,66,6649
0.040199004113674164,66,6699
0.06205146014690399,67,6749
0.04119390249252319,67,6799
0.060370806604623795,68,6849
0.04102114588022232,68,6899
0.0619598887860775,69,6949
0.04053516685962677,69,6999
0.0603535920381546,70,7049
0.04049630090594292,70,7099
0.060913462191820145,71,7149
0.04117592051625252,71,7199
0.060158442705869675,72,7249
0.04016389697790146,72,7299
0.06067267060279846,73,7349
0.0402195081114769,73,7399
0.05933097004890442,74,7449
0.040095698088407516,74,7499
0.06019884720444679,75,7549
0.04101184755563736,75,7599
0.060093022882938385,76,7649
0.040218502283096313,76,7699
0.06103772670030594,77,7749
0.042867522686719894,77,7799
0.060263533145189285,78,7849
0.041011471301317215,78,7899
0.060678765177726746,79,7949
0.040259432047605515,79,7999
0.05760589987039566,80,8049
0.04034695401787758,80,8099
0.06299019604921341,81,8149
0.04151059314608574,81,8199
0.058040279895067215,82,8249
0.04023310914635658,82,8299
0.06016815826296806,83,8349
0.04082677885890007,83,8399
0.059390097856521606,84,8449
0.04020760953426361,84,8499
0.061206214129924774,85,8549
0.0415913425385952,85,8599
0.0578044056892395,86,8649
0.04015606641769409,86,8699
0.061025094240903854,87,8749
0.04152184724807739,87,8799
0.056261543184518814,88,8849
0.04153015837073326,88,8899
0.05981036275625229,89,8949
0.04075611010193825,89,8999
0.062234070152044296,90,9049
0.041183389723300934,90,9099
0.059639282524585724,91,9149
0.04065890237689018,91,9199
0.06030530855059624,92,9249
0.04039661958813667,92,9299
0.06165960431098938,93,9349
0.040359169244766235,93,9399
0.06101781874895096,94,9449
0.04059412702918053,94,9499
0.058973442763090134,95,9549
0.0413162037730217,95,9599
0.059718430042266846,96,9649
0.04008908197283745,96,9699
0.05735202133655548,97,9749
0.04032357782125473,97,9799
0.05906478688120842,98,9849
0.04115964099764824,98,9899
0.061352409422397614,99,9949
0.040552958846092224,99,9999
