train_loss,epoch,step,val_loss,test_loss,accuracy
2.29477858543396,0,49,,,
2.3135175704956055,0,99,,,
2.3132107257843018,0,149,,,
2.2881112098693848,0,199,,,
2.2987923622131348,0,249,,,
2.306276798248291,0,299,,,
2.3253815174102783,0,349,,,
2.282102346420288,0,399,,,
2.311427116394043,0,449,,,
2.297714948654175,0,499,,,
2.3024446964263916,0,549,,,
2.2965941429138184,0,599,,,
2.277501344680786,0,649,,,
2.3193209171295166,0,699,,,
2.3011393547058105,0,749,,,
2.2958786487579346,0,799,,,
2.30192494392395,0,849,,,
2.268512725830078,0,899,,,
2.318964719772339,0,949,,,
2.309844493865967,0,999,,,
2.289710760116577,0,1049,,,
2.3022024631500244,0,1099,,,
2.276383638381958,0,1149,,,
2.2845141887664795,0,1199,,,
2.3078322410583496,0,1249,,,
2.318730592727661,0,1299,,,
2.3310914039611816,0,1349,,,
2.3071646690368652,0,1399,,,
2.305546522140503,0,1449,,,
2.322873830795288,0,1499,,,
2.306471347808838,0,1549,,,
2.2944633960723877,0,1599,,,
2.314664125442505,0,1649,,,
2.2998342514038086,0,1699,,,
2.2966620922088623,0,1749,,,
2.286853551864624,0,1799,,,
,0,1799,2.303309679031372,,
2.293114185333252,1,1849,,,
2.3035919666290283,1,1899,,,
2.3154685497283936,1,1949,,,
2.3042447566986084,1,1999,,,
2.3332865238189697,1,2049,,,
2.3003079891204834,1,2099,,,
2.312230110168457,1,2149,,,
2.286504030227661,1,2199,,,
2.3117711544036865,1,2249,,,
2.288997173309326,1,2299,,,
2.3156630992889404,1,2349,,,
2.305136203765869,1,2399,,,
2.2883753776550293,1,2449,,,
2.2781546115875244,1,2499,,,
2.2915143966674805,1,2549,,,
2.278439521789551,1,2599,,,
2.2923288345336914,1,2649,,,
2.312587022781372,1,2699,,,
2.307344675064087,1,2749,,,
2.3048412799835205,1,2799,,,
2.26933217048645,1,2849,,,
2.287539005279541,1,2899,,,
2.2802999019622803,1,2949,,,
2.2968478202819824,1,2999,,,
2.339303731918335,1,3049,,,
2.3090853691101074,1,3099,,,
2.294764757156372,1,3149,,,
2.2862114906311035,1,3199,,,
2.310621976852417,1,3249,,,
2.3172342777252197,1,3299,,,
2.313697576522827,1,3349,,,
2.3245537281036377,1,3399,,,
2.3014578819274902,1,3449,,,
2.299515962600708,1,3499,,,
2.294196605682373,1,3549,,,
2.3114333152770996,1,3599,,,
,1,3599,2.3031041622161865,,
2.2901108264923096,2,3649,,,
2.3109452724456787,2,3699,,,
2.303656578063965,2,3749,,,
2.3185431957244873,2,3799,,,
2.2949671745300293,2,3849,,,
