train_loss,epoch,step,val_loss,test_loss,accuracy
2.3091213703155518,0,49,,,
2.3333799839019775,0,99,,,
2.277492046356201,0,149,,,
2.3136708736419678,0,199,,,
2.302147626876831,0,249,,,
2.320143938064575,0,299,,,
2.3084473609924316,0,349,,,
2.3063747882843018,0,399,,,
2.2991509437561035,0,449,,,
2.308696985244751,0,499,,,
2.312624216079712,0,549,,,
2.2808849811553955,0,599,,,
2.278017520904541,0,649,,,
2.321475028991699,0,699,,,
2.302539110183716,0,749,,,
2.286832571029663,0,799,,,
2.302218198776245,0,849,,,
2.292071580886841,0,899,,,
2.2799508571624756,0,949,,,
2.287074089050293,0,999,,,
2.303347587585449,0,1049,,,
2.312474012374878,0,1099,,,
2.2971436977386475,0,1149,,,
2.3068912029266357,0,1199,,,
2.313072681427002,0,1249,,,
2.322944164276123,0,1299,,,
2.309213399887085,0,1349,,,
2.2911462783813477,0,1399,,,
2.295738935470581,0,1449,,,
2.3061211109161377,0,1499,,,
2.314288377761841,0,1549,,,
2.3041605949401855,0,1599,,,
2.3011269569396973,0,1649,,,
2.2846498489379883,0,1699,,,
2.315495729446411,0,1749,,,
2.280477285385132,0,1799,,,
,0,1799,2.301576852798462,,
2.2658700942993164,1,1849,,,
2.298344135284424,1,1899,,,
2.305262804031372,1,1949,,,
2.303464412689209,1,1999,,,
2.2800512313842773,1,2049,,,
2.302205801010132,1,2099,,,
2.298034906387329,1,2149,,,
2.3099961280822754,1,2199,,,
2.2985475063323975,1,2249,,,
2.2781851291656494,1,2299,,,
2.2900168895721436,1,2349,,,
2.30922794342041,1,2399,,,
2.2972497940063477,1,2449,,,
2.296943426132202,1,2499,,,
2.309387445449829,1,2549,,,
2.2986598014831543,1,2599,,,
2.2893028259277344,1,2649,,,
2.294541358947754,1,2699,,,
2.3119771480560303,1,2749,,,
2.3023593425750732,1,2799,,,
2.291252851486206,1,2849,,,
2.30214786529541,1,2899,,,
2.284623861312866,1,2949,,,
2.308169364929199,1,2999,,,
2.326523780822754,1,3049,,,
2.302811622619629,1,3099,,,
2.2672829627990723,1,3149,,,
2.298534631729126,1,3199,,,
2.3053314685821533,1,3249,,,
2.3133814334869385,1,3299,,,
2.2983250617980957,1,3349,,,
2.2827210426330566,1,3399,,,
2.2996912002563477,1,3449,,,
2.306718587875366,1,3499,,,
2.298793077468872,1,3549,,,
2.282243490219116,1,3599,,,
,1,3599,2.3016459941864014,,
2.2812283039093018,2,3649,,,
2.2983803749084473,2,3699,,,
2.3158233165740967,2,3749,,,
2.293067455291748,2,3799,,,
2.3007724285125732,2,3849,,,
2.3145437240600586,2,3899,,,
2.3072078227996826,2,3949,,,
2.30747127532959,2,3999,,,
2.2980258464813232,2,4049,,,
2.3038148880004883,2,4099,,,
2.318965435028076,2,4149,,,
2.294214963912964,2,4199,,,
2.3114993572235107,2,4249,,,
2.2986154556274414,2,4299,,,
2.28753924369812,2,4349,,,
2.3026463985443115,2,4399,,,
2.2914884090423584,2,4449,,,
2.31485915184021,2,4499,,,
2.2861521244049072,2,4549,,,
2.2723755836486816,2,4599,,,
2.317190647125244,2,4649,,,
2.303812265396118,2,4699,,,
2.2927987575531006,2,4749,,,
2.2914583683013916,2,4799,,,
2.3022279739379883,2,4849,,,
2.302558422088623,2,4899,,,
2.3215980529785156,2,4949,,,
2.297970771789551,2,4999,,,
2.3126914501190186,2,5049,,,
2.30952787399292,2,5099,,,
2.253495693206787,2,5149,,,
2.2967560291290283,2,5199,,,
